[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '123123', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', '','');
[2023-10-11][INFO]Ejecutando Query INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '123123', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', '',''); 
[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana2', '1233', 'Femenino','Argentina', 'La Matanza','hola@hola.com', '123', '','');
[2023-10-11][INFO]Ejecutando Query INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana2', '1233', 'Femenino','Argentina', 'La Matanza','hola@hola.com', '123', '',''); 
[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana2', '1233', 'Femenino','Argentina', 'La Matanza','hola@hola.com', '123', '','');
[2023-10-11][INFO]Ejecutando Query INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana2', '1233', 'Femenino','Argentina', 'La Matanza','hola@hola.com', '123', '',''); 
[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana2', '123123', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'eliiiiii','');
[2023-10-11][INFO]Ejecutando Query INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana2', '123123', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'eliiiiii',''); 
[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana3', '123123', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'eli','');
[2023-10-11][INFO]Ejecutando Query INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana3', '123123', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'eli',''); 
[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '123123', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'eliiiiii','');
[2023-10-11][INFO]Ejecutando Query INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '123123', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'eliiiiii',''); 
[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '345', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'elii','');
[2023-10-11][INFO]Ejecutando Query INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '345', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'elii',''); 
[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '456', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'ee','');
[2023-10-11][INFO]Ejecutando Query INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '456', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'ee',''); 
[2023-10-11][INFO]Usuario registro: INSERT INTO `users` ( `nombre_completo`, `ano_nacimiento`, `sexo`,`pais`,`ciudad`,`mail`,`password`,`user_name`,`imagen_path` ) VALUES ( 'eliana', '234', 'Prefiero no cargarlo','Argentina', 'La Matanza','hola@hola.com', '123', 'eliii','');
